timestamp,pair,price,rolling_mean,rolling_std,short_vol,long_vol,breakout_fired,vol_spike_fired,mr_touch_fired
2025-12-14T05:45:14.826499+00:00,BTCUSDT,90158.06,90124.58849999994,29.61846153691257,2.360462540234177e-05,7.393890221227189e-05,0,0,0
2025-12-14T05:45:14.826499+00:00,ETHUSDT,3113.24,3109.777666666667,2.2219203533198884,0.00016728658185401663,0.00016490553421567424,0,1,0
2025-12-14T05:45:27.106983+00:00,BTCUSDT,90158.05,90125.1561666666,29.931538159305045,2.3606428345181896e-05,6.910995512978613e-05,0,0,0
2025-12-14T05:45:27.106983+00:00,ETHUSDT,3113.24,3109.8726666666666,2.246345330672189,0.00016751903338762123,0.00016134972894704563,0,1,0
2025-12-14T05:45:39.026975+00:00,BTCUSDT,90158.05,90126.0126666666,30.12791997898138,2.3604625165543095e-05,6.163814831770323e-05,0,0,0
2025-12-14T05:45:39.026975+00:00,ETHUSDT,3113.24,3109.9795,2.2516069026514693,0.00016751903338762123,0.00015849671974388035,0,1,0
2025-12-14T05:45:51.246517+00:00,BTCUSDT,90152.58,90127.11849999994,29.859442694914136,2.7498248191296477e-05,6.224499762491521e-05,0,0,0
2025-12-14T05:45:51.246517+00:00,ETHUSDT,3113.2,3110.0958333333338,2.2343241435680232,9.007440410354584e-05,0.0001585623045897622,0,0,0
2025-12-14T05:46:03.172808+00:00,BTCUSDT,90152.58,90128.25416666661,29.502381994706806,2.7497770542709823e-05,6.224539000153814e-05,0,0,0
2025-12-14T05:46:03.172808+00:00,ETHUSDT,3113.2,3110.2083333333335,2.2175128583248447,9.007440410354584e-05,0.00015854884924677043,0,0,0
2025-12-14T05:46:14.928416+00:00,BTCUSDT,90159.25,90129.50083333327,29.19882980541622,3.205012710910326e-05,6.207976836378701e-05,0,0,0
2025-12-14T05:46:14.928416+00:00,ETHUSDT,3113.21,3110.321166666666,2.1946399200167117,7.23319170783063e-05,0.00015853652621537255,0,0,0
2025-12-14T05:46:27.155434+00:00,BTCUSDT,90159.24,90130.83049999994,28.693582901857884,2.254106138039293e-05,6.208023236720213e-05,0,0,0
2025-12-14T05:46:27.155434+00:00,ETHUSDT,3113.2,3110.4338333333335,2.1653387347383015,7.208274248159725e-05,0.00015853649566674157,0,0,0
2025-12-14T05:46:39.081095+00:00,BTCUSDT,90159.25,90132.16033333326,28.11556435871559,2.2540678247446085e-05,6.015817314316527e-05,0,0,0
2025-12-14T05:46:39.081095+00:00,ETHUSDT,3113.21,3110.5468333333333,2.129466784270324,6.764971921086318e-05,0.00015545394146830374,0,0,0
2025-12-14T05:46:50.854705+00:00,BTCUSDT,90174.86,90133.55299999993,28.126812125426287,4.5522910633262104e-05,6.366175645811567e-05,0,0,0
2025-12-14T05:46:50.854705+00:00,ETHUSDT,3113.2,3110.6454999999996,2.1126178033545773,6.767959985333659e-05,0.00015547695454853395,0,0,0
2025-12-14T05:47:02.605688+00:00,BTCUSDT,90174.87,90134.90599999994,28.129282420487836,4.552158963571705e-05,6.230593775905129e-05,0,0,0
2025-12-14T05:47:02.605688+00:00,ETHUSDT,3113.07,3110.7418333333335,2.0886622851104537,6.119218677228086e-05,0.0001555990428206696,0,0,0
2025-12-14T05:47:14.537532+00:00,BTCUSDT,90187.86,90136.60283333328,28.20283614129039,5.483821064501973e-05,6.442589779364803e-05,0,0,0
2025-12-14T05:47:14.537532+00:00,ETHUSDT,3113.2,3110.8358333333335,2.069866360761558,6.141597991258727e-05,0.00015549850706401627,0,0,0
2025-12-14T05:47:26.312682+00:00,BTCUSDT,90180.33,90138.1743333333,27.963622335533195,5.945913583642228e-05,6.575695534823784e-05,0,0,0
2025-12-14T05:47:26.312682+00:00,ETHUSDT,3114.0,3110.9393333333337,2.0702434694013014,8.25306370271641e-05,0.00015824427299458713,0,0,0
2025-12-14T05:47:38.060208+00:00,BTCUSDT,90205.43,90140.16416666664,28.43477700565966,8.491318260158951e-05,7.393841011513267e-05,0,1,0
2025-12-14T05:47:38.060208+00:00,ETHUSDT,3113.5,3111.034333333334,2.0544646435875467,9.300996271389358e-05,0.0001601926639340785,0,0,0
2025-12-14T05:47:49.849781+00:00,BTCUSDT,90219.51,90142.38849999997,29.335642336093265,8.951426483625458e-05,7.588745851537019e-05,0,1,0
2025-12-14T05:47:49.849781+00:00,ETHUSDT,3113.66,3111.1321666666677,2.0370417997147707,8.75090855960548e-05,0.0001601602135072281,0,0,0
2025-12-14T05:48:01.789121+00:00,BTCUSDT,90227.03,90144.73833333331,30.373924430516382,8.970337973724876e-05,7.618746965600404e-05,0,1,0
2025-12-14T05:48:01.789121+00:00,ETHUSDT,3114.58,3111.2453333333337,2.036829928637137,0.00010160853187208722,0.00016373436233681633,0,0,0
2025-12-14T05:48:13.540008+00:00,BTCUSDT,90227.03,90147.08816666667,31.198398182026313,8.970614111692144e-05,7.618813415609312e-05,0,1,0
2025-12-14T05:48:13.540008+00:00,ETHUSDT,3114.59,3111.3585000000007,2.0307799495242578,0.00010160857088916399,0.00016370930906028773,0,0,0
2025-12-14T05:48:25.462265+00:00,BTCUSDT,90227.03,90149.43783333333,31.826022243380173,8.970614111692144e-05,7.618746686756012e-05,0,1,0
2025-12-14T05:48:25.462265+00:00,ETHUSDT,3114.58,3111.471666666667,2.017698946708338,9.922201025915898e-05,0.00016373435758852532,0,0,0
2025-12-14T05:48:37.234026+00:00,BTCUSDT,90227.03,90151.78766666669,32.267631331589335,8.970614111692144e-05,7.563440922654087e-05,0,1,0
