timestamp,pair,breakout_fired,vol_spike_fired,mr_touch_fired
2025-12-14T06:03:08.788284+00:00,ETHUSDT,0,0,0
2025-12-14T06:03:20.552070+00:00,BTCUSDT,0,1,0
2025-12-14T06:03:20.552070+00:00,ETHUSDT,0,0,0
2025-12-14T06:03:32.312333+00:00,BTCUSDT,0,1,0
2025-12-14T06:03:32.312333+00:00,ETHUSDT,0,0,0
2025-12-14T06:03:44.088460+00:00,BTCUSDT,0,1,0
2025-12-14T06:03:44.088460+00:00,ETHUSDT,0,0,0
2025-12-14T06:03:56.043536+00:00,BTCUSDT,0,1,0
2025-12-14T06:03:56.043536+00:00,ETHUSDT,0,0,0
2025-12-14T06:04:07.890161+00:00,BTCUSDT,0,1,0
2025-12-14T06:04:07.890161+00:00,ETHUSDT,0,0,0
2025-12-14T06:04:19.811055+00:00,BTCUSDT,0,1,0
2025-12-14T06:04:19.811055+00:00,ETHUSDT,0,0,0
2025-12-14T06:04:31.570260+00:00,BTCUSDT,0,1,0
2025-12-14T06:04:31.570260+00:00,ETHUSDT,0,0,0
2025-12-14T06:04:43.330587+00:00,BTCUSDT,0,1,0
2025-12-14T06:04:43.330587+00:00,ETHUSDT,0,0,0
2025-12-14T06:04:55.082559+00:00,BTCUSDT,0,1,0
2025-12-14T06:04:55.082559+00:00,ETHUSDT,0,0,0
2025-12-14T06:05:07.029895+00:00,BTCUSDT,0,1,0
2025-12-14T06:05:07.029895+00:00,ETHUSDT,0,0,0
2025-12-14T06:05:18.795884+00:00,BTCUSDT,0,1,0
2025-12-14T06:05:18.795884+00:00,ETHUSDT,0,0,0
2025-12-14T06:05:30.720507+00:00,BTCUSDT,0,1,0
2025-12-14T06:05:30.720507+00:00,ETHUSDT,0,0,0
2025-12-14T06:05:42.484942+00:00,BTCUSDT,0,1,0
2025-12-14T06:05:42.484942+00:00,ETHUSDT,0,0,0
2025-12-14T06:05:54.672616+00:00,BTCUSDT,0,1,0
2025-12-14T06:05:54.672616+00:00,ETHUSDT,0,0,0
2025-12-14T06:06:06.445368+00:00,BTCUSDT,0,1,0
2025-12-14T06:06:06.445368+00:00,ETHUSDT,0,0,0
2025-12-14T06:06:18.365323+00:00,BTCUSDT,0,0,0
2025-12-14T06:06:18.365323+00:00,ETHUSDT,0,0,0
2025-12-14T06:06:30.130037+00:00,BTCUSDT,0,0,0
2025-12-14T06:06:30.130037+00:00,ETHUSDT,0,0,0
2025-12-14T06:06:41.896335+00:00,BTCUSDT,0,0,0
2025-12-14T06:06:41.896335+00:00,ETHUSDT,0,0,0
2025-12-14T06:06:53.654684+00:00,BTCUSDT,0,0,0
2025-12-14T06:06:53.654684+00:00,ETHUSDT,0,0,0
2025-12-14T06:07:05.558566+00:00,BTCUSDT,0,0,0
2025-12-14T06:07:05.558566+00:00,ETHUSDT,0,0,0
2025-12-14T06:07:17.482492+00:00,BTCUSDT,0,0,0
2025-12-14T06:07:17.482492+00:00,ETHUSDT,0,0,0
2025-12-14T06:07:29.248312+00:00,BTCUSDT,0,0,0
2025-12-14T06:07:29.248312+00:00,ETHUSDT,0,0,0
2025-12-14T06:07:41.208635+00:00,BTCUSDT,0,0,0
2025-12-14T06:07:41.208635+00:00,ETHUSDT,0,0,0
2025-12-14T06:07:53.061035+00:00,BTCUSDT,0,0,0
2025-12-14T06:07:53.061035+00:00,ETHUSDT,0,0,0
2025-12-14T06:08:04.830178+00:00,BTCUSDT,0,0,0
2025-12-14T06:08:04.830178+00:00,ETHUSDT,0,0,0
2025-12-14T06:08:16.611727+00:00,BTCUSDT,0,0,0
2025-12-14T06:08:16.611727+00:00,ETHUSDT,0,0,0
2025-12-14T06:08:28.713362+00:00,BTCUSDT,0,0,0
2025-12-14T06:08:28.713362+00:00,ETHUSDT,0,0,0
2025-12-14T06:08:40.502671+00:00,BTCUSDT,0,0,0
2025-12-14T06:08:40.502671+00:00,ETHUSDT,0,0,0
2025-12-14T06:08:52.272195+00:00,BTCUSDT,0,0,0
2025-12-14T06:08:52.272195+00:00,ETHUSDT,0,0,0
2025-12-14T06:09:04.234559+00:00,BTCUSDT,0,0,0
2025-12-14T06:09:04.234559+00:00,ETHUSDT,0,0,0
2025-12-14T06:09:16.011098+00:00,BTCUSDT,0,0,0
2025-12-14T06:09:16.011098+00:00,ETHUSDT,0,0,0
2025-12-14T06:09:27.752743+00:00,BTCUSDT,0,0,0
2025-12-14T06:09:27.752743+00:00,ETHUSDT,0,0,0
2025-12-14T06:09:39.671348+00:00,BTCUSDT,0,0,0
2025-12-14T06:09:39.671348+00:00,ETHUSDT,0,0,0
2025-12-14T06:09:51.577987+00:00,BTCUSDT,0,0,0
2025-12-14T06:09:51.577987+00:00,ETHUSDT,0,0,0
2025-12-14T06:10:03.360711+00:00,BTCUSDT,0,0,0
2025-12-14T06:10:03.360711+00:00,ETHUSDT,0,0,0
2025-12-14T06:10:15.145721+00:00,BTCUSDT,0,0,0
2025-12-14T06:10:15.145721+00:00,ETHUSDT,0,0,0
2025-12-14T06:10:27.075328+00:00,BTCUSDT,0,0,0
2025-12-14T06:10:27.075328+00:00,ETHUSDT,0,0,0
2025-12-14T06:10:38.841118+00:00,BTCUSDT,0,0,0
2025-12-14T06:10:38.841118+00:00,ETHUSDT,0,0,0
2025-12-14T06:10:50.770135+00:00,BTCUSDT,0,0,0
2025-12-14T06:10:50.770135+00:00,ETHUSDT,0,0,0
2025-12-14T06:11:02.525898+00:00,BTCUSDT,0,0,0
2025-12-14T06:11:02.525898+00:00,ETHUSDT,0,0,0
2025-12-14T06:11:14.314950+00:00,BTCUSDT,0,0,0
2025-12-14T06:11:14.314950+00:00,ETHUSDT,0,0,0
2025-12-14T06:11:26.104321+00:00,BTCUSDT,0,0,0
2025-12-14T06:11:26.104321+00:00,ETHUSDT,0,0,0
2025-12-14T06:11:38.039578+00:00,BTCUSDT,0,0,0
2025-12-14T06:11:38.039578+00:00,ETHUSDT,0,1,0
2025-12-14T06:11:49.798799+00:00,BTCUSDT,0,0,0
2025-12-14T06:11:49.798799+00:00,ETHUSDT,0,1,0
2025-12-14T06:12:01.563910+00:00,BTCUSDT,0,0,0
2025-12-14T06:12:01.563910+00:00,ETHUSDT,0,1,0
2025-12-14T06:12:13.312573+00:00,BTCUSDT,0,0,0
2025-12-14T06:12:13.312573+00:00,ETHUSDT,0,0,0
2025-12-14T06:12:25.090477+00:00,BTCUSDT,0,0,0
2025-12-14T06:12:25.090477+00:00,ETHUSDT,0,0,0
2025-12-14T06:12:37.327861+00:00,BTCUSDT,0,0,0
2025-12-14T06:12:37.327861+00:00,ETHUSDT,0,0,0
2025-12-14T06:12:49.111387+00:00,BTCUSDT,0,0,0
2025-12-14T06:12:49.111387+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:00.874279+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:00.874279+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:12.628268+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:12.628268+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:24.381175+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:24.381175+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:36.162280+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:36.162280+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:47.925700+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:47.925700+00:00,ETHUSDT,0,0,0
2025-12-14T06:13:59.842778+00:00,BTCUSDT,0,0,0
2025-12-14T06:13:59.842778+00:00,ETHUSDT,0,0,0
2025-12-14T06:14:11.608857+00:00,BTCUSDT,0,0,0
2025-12-14T06:14:11.608857+00:00,ETHUSDT,0,0,0
2025-12-14T06:14:23.360787+00:00,BTCUSDT,0,0,0
2025-12-14T06:14:23.360787+00:00,ETHUSDT,0,0,0
2025-12-14T06:14:35.136227+00:00,BTCUSDT,0,0,0
2025-12-14T06:14:35.136227+00:00,ETHUSDT,0,0,0
2025-12-14T06:14:47.053798+00:00,BTCUSDT,0,0,0
2025-12-14T06:14:47.053798+00:00,ETHUSDT,0,0,0
2025-12-14T06:14:58.804860+00:00,BTCUSDT,0,1,0
2025-12-14T06:14:58.804860+00:00,ETHUSDT,0,1,0
2025-12-14T06:15:11.308558+00:00,BTCUSDT,0,1,0
2025-12-14T06:15:11.308558+00:00,ETHUSDT,0,1,0
2025-12-14T06:15:23.095476+00:00,BTCUSDT,0,1,0
2025-12-14T06:15:23.095476+00:00,ETHUSDT,0,0,0
2025-12-14T06:15:34.864378+00:00,BTCUSDT,0,0,0
2025-12-14T06:15:34.864378+00:00,ETHUSDT,0,0,0
2025-12-14T06:15:46.643847+00:00,BTCUSDT,0,0,0
2025-12-14T06:15:46.643847+00:00,ETHUSDT,0,0,0
2025-12-14T06:15:58.629108+00:00,BTCUSDT,0,0,0
2025-12-14T06:15:58.629108+00:00,ETHUSDT,0,0,0
2025-12-14T06:16:10.831135+00:00,BTCUSDT,0,0,0
2025-12-14T06:16:10.831135+00:00,ETHUSDT,0,0,0
2025-12-14T06:16:22.583919+00:00,BTCUSDT,0,0,0
2025-12-14T06:16:22.583919+00:00,ETHUSDT,0,0,0
2025-12-14T06:16:34.366615+00:00,BTCUSDT,0,0,0
2025-12-14T06:16:34.366615+00:00,ETHUSDT,0,0,0
2025-12-14T06:16:46.286386+00:00,BTCUSDT,0,0,0
2025-12-14T06:16:46.286386+00:00,ETHUSDT,0,0,0
2025-12-14T06:16:58.204423+00:00,BTCUSDT,0,0,0
2025-12-14T06:16:58.204423+00:00,ETHUSDT,0,0,0
2025-12-14T06:17:10.037239+00:00,BTCUSDT,0,0,0
2025-12-14T06:17:10.037239+00:00,ETHUSDT,0,0,0
2025-12-14T06:17:21.965790+00:00,BTCUSDT,0,0,0
2025-12-14T06:17:21.965790+00:00,ETHUSDT,0,1,0
2025-12-14T06:17:33.736786+00:00,BTCUSDT,0,0,0
2025-12-14T06:17:33.736786+00:00,ETHUSDT,0,1,0
2025-12-14T06:17:45.660283+00:00,BTCUSDT,0,0,0
2025-12-14T06:17:45.660283+00:00,ETHUSDT,0,1,0
2025-12-14T06:17:57.417725+00:00,BTCUSDT,0,0,0
2025-12-14T06:17:57.417725+00:00,ETHUSDT,0,1,0
2025-12-14T06:18:09.509036+00:00,BTCUSDT,0,0,0
2025-12-14T06:18:09.509036+00:00,ETHUSDT,0,1,0
2025-12-14T06:18:21.258601+00:00,BTCUSDT,0,0,0
2025-12-14T06:18:21.258601+00:00,ETHUSDT,0,1,0
2025-12-14T06:18:33.037708+00:00,BTCUSDT,0,0,0
2025-12-14T06:18:33.037708+00:00,ETHUSDT,0,1,0
2025-12-14T06:18:45.040787+00:00,BTCUSDT,0,1,0
2025-12-14T06:18:45.040787+00:00,ETHUSDT,0,1,0
2025-12-14T06:18:56.917029+00:00,BTCUSDT,0,1,0
2025-12-14T06:18:56.917029+00:00,ETHUSDT,0,1,0
2025-12-14T06:19:08.947826+00:00,BTCUSDT,0,1,0
2025-12-14T06:19:08.947826+00:00,ETHUSDT,0,1,0
2025-12-14T06:19:20.902725+00:00,BTCUSDT,0,0,0
2025-12-14T06:19:20.902725+00:00,ETHUSDT,0,1,0
2025-12-14T06:19:32.837915+00:00,BTCUSDT,0,0,0
2025-12-14T06:19:32.837915+00:00,ETHUSDT,0,1,0
2025-12-14T06:19:44.598364+00:00,BTCUSDT,0,1,0
2025-12-14T06:19:44.598364+00:00,ETHUSDT,0,1,0
2025-12-14T06:19:56.875681+00:00,BTCUSDT,0,1,0
2025-12-14T06:19:56.875681+00:00,ETHUSDT,0,1,0
2025-12-14T06:20:09.152975+00:00,BTCUSDT,0,1,0
2025-12-14T06:20:09.152975+00:00,ETHUSDT,0,1,0
2025-12-14T06:20:20.913969+00:00,BTCUSDT,0,1,0
2025-12-14T06:20:20.913969+00:00,ETHUSDT,0,1,0
2025-12-14T06:20:32.900419+00:00,BTCUSDT,0,1,0
2025-12-14T06:20:32.900419+00:00,ETHUSDT,0,1,0
2025-12-14T06:20:44.700525+00:00,BTCUSDT,0,1,0
2025-12-14T06:20:44.700525+00:00,ETHUSDT,0,1,0
2025-12-14T06:20:56.636928+00:00,BTCUSDT,0,1,0
2025-12-14T06:20:56.636928+00:00,ETHUSDT,0,1,0
2025-12-14T06:21:09.102796+00:00,BTCUSDT,0,1,0
2025-12-14T06:21:09.102796+00:00,ETHUSDT,0,1,0
2025-12-14T06:21:21.441207+00:00,BTCUSDT,0,1,0
2025-12-14T06:21:21.441207+00:00,ETHUSDT,0,1,0
2025-12-14T06:21:33.675848+00:00,BTCUSDT,0,1,0
2025-12-14T06:21:33.675848+00:00,ETHUSDT,0,1,0
2025-12-14T06:21:45.470155+00:00,BTCUSDT,0,1,0
2025-12-14T06:21:45.470155+00:00,ETHUSDT,0,1,0
2025-12-14T06:21:57.274540+00:00,BTCUSDT,0,1,0
2025-12-14T06:21:57.274540+00:00,ETHUSDT,0,1,0
2025-12-14T06:22:09.931378+00:00,BTCUSDT,0,1,0
2025-12-14T06:22:09.931378+00:00,ETHUSDT,0,1,0
2025-12-14T06:22:21.879790+00:00,BTCUSDT,0,1,0
2025-12-14T06:22:21.879790+00:00,ETHUSDT,0,1,0
2025-12-14T06:22:33.647844+00:00,BTCUSDT,0,1,0
2025-12-14T06:22:33.647844+00:00,ETHUSDT,0,0,0
2025-12-14T06:22:45.406821+00:00,BTCUSDT,0,1,0
2025-12-14T06:22:45.406821+00:00,ETHUSDT,0,0,0
2025-12-14T06:22:57.725929+00:00,BTCUSDT,0,1,0
2025-12-14T06:22:57.725929+00:00,ETHUSDT,0,0,0
2025-12-14T06:23:09.616394+00:00,BTCUSDT,0,1,0
2025-12-14T06:23:09.616394+00:00,ETHUSDT,0,0,0
2025-12-14T06:23:21.404657+00:00,BTCUSDT,0,1,0
2025-12-14T06:23:21.404657+00:00,ETHUSDT,0,0,0
2025-12-14T06:23:32.630016+00:00,ETHUSDT,0,0,0
2025-12-14T06:23:44.532103+00:00,BTCUSDT,0,1,0
2025-12-14T06:23:44.532103+00:00,ETHUSDT,0,0,0
2025-12-14T06:23:56.270486+00:00,BTCUSDT,0,1,0
2025-12-14T06:23:56.270486+00:00,ETHUSDT,0,0,0
2025-12-14T06:24:08.024475+00:00,BTCUSDT,0,0,0
2025-12-14T06:24:08.024475+00:00,ETHUSDT,0,0,0
2025-12-14T06:24:19.972191+00:00,BTCUSDT,0,0,0
2025-12-14T06:24:19.972191+00:00,ETHUSDT,0,0,0
2025-12-14T06:24:31.711619+00:00,BTCUSDT,0,0,0
2025-12-14T06:24:31.711619+00:00,ETHUSDT,0,0,0
2025-12-14T06:24:43.609850+00:00,BTCUSDT,0,1,0
2025-12-14T06:24:43.609850+00:00,ETHUSDT,0,0,0
2025-12-14T06:24:55.354639+00:00,BTCUSDT,0,1,0
2025-12-14T06:24:55.354639+00:00,ETHUSDT,0,0,0
2025-12-14T06:25:07.584093+00:00,BTCUSDT,0,1,0
2025-12-14T06:25:07.584093+00:00,ETHUSDT,0,0,0
2025-12-14T06:25:19.358240+00:00,BTCUSDT,0,1,0
2025-12-14T06:25:19.358240+00:00,ETHUSDT,0,0,0
2025-12-14T06:25:31.293103+00:00,BTCUSDT,0,1,0
2025-12-14T06:25:31.293103+00:00,ETHUSDT,0,0,0
2025-12-14T06:25:43.075625+00:00,BTCUSDT,0,1,0
2025-12-14T06:25:43.075625+00:00,ETHUSDT,0,0,0
