timestamp,pair,event,price,version,metrics_json
2025-12-14T05:59:35.574159+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00024509583953145995, ""long_vol"": 0.00020432421164511577, ""ratio"": 1.199543791497207, ""rolling_mean"": 3111.8455000000004, ""rolling_std"": 1.7646062844110566, ""history_length"": 60}"
2025-12-14T05:59:47.347117+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0001188027399603983, ""long_vol"": 8.323842689684122e-05, ""ratio"": 1.4272583515739976, ""rolling_mean"": 90160.97550000002, ""rolling_std"": 31.137531249091147, ""history_length"": 60}"
2025-12-14T05:59:47.347117+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00024507762897276267, ""long_vol"": 0.00020433324127726977, ""ratio"": 1.1994016609378053, ""rolling_mean"": 3111.896333333333, ""rolling_std"": 1.711789594494363, ""history_length"": 60}"
2025-12-14T05:59:59.264577+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0001183950407203217, ""long_vol"": 8.038886456803933e-05, ""ratio"": 1.4727791138300603, ""rolling_mean"": 90162.33516666667, ""rolling_std"": 30.986835449238335, ""history_length"": 60}"
2025-12-14T05:59:59.264577+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002450569634397213, ""long_vol"": 0.00020340015016938123, ""ratio"": 1.2048022739199082, ""rolling_mean"": 3111.947, ""rolling_std"": 1.656049311474106, ""history_length"": 60}"
2025-12-14T06:00:11.042226+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0001202350792009324, ""long_vol"": 7.999924577486084e-05, ""ratio"": 1.5029526595701401, ""rolling_mean"": 90163.81283333336, ""rolling_std"": 30.26734936526254, ""history_length"": 60}"
2025-12-14T06:00:11.042226+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00024553787709060586, ""long_vol"": 0.00020396674250404247, ""ratio"": 1.2038132985613548, ""rolling_mean"": 3111.999333333333, ""rolling_std"": 1.5826558526800996, ""history_length"": 60}"
2025-12-14T06:00:22.801363+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00012023607860877618, ""long_vol"": 7.99996792044479e-05, ""ratio"": 1.5029570093837474, ""rolling_mean"": 90165.42366666671, ""rolling_std"": 29.153406520531977, ""history_length"": 60}"
2025-12-14T06:00:22.801363+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002455134390825903, ""long_vol"": 0.00020396674250404247, ""ratio"": 1.2036934848715566, ""rolling_mean"": 3112.051833333333, ""rolling_std"": 1.5034000918445338, ""history_length"": 60}"
2025-12-14T06:00:34.578087+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00011460626300053896, ""long_vol"": 7.9401012930085e-05, ""ratio"": 1.4433854024186472, ""rolling_mean"": 90166.9996666667, ""rolling_std"": 27.869982878532877, ""history_length"": 60}"
2025-12-14T06:00:34.578087+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002455598708981944, ""long_vol"": 0.00020343753975421067, ""ratio"": 1.2070528929659448, ""rolling_mean"": 3112.1045, ""rolling_std"": 1.417656726157739, ""history_length"": 60}"
2025-12-14T06:00:46.490758+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00011460626308639157, ""long_vol"": 7.91251199481481e-05, ""ratio"": 1.448418190853863, ""rolling_mean"": 90168.42316666669, ""rolling_std"": 26.824709674557113, ""history_length"": 60}"
2025-12-14T06:00:46.490758+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002456523041754336, ""long_vol"": 0.00020158930123502234, ""ratio"": 1.218578082618782, ""rolling_mean"": 3112.1505, ""rolling_std"": 1.3435362206770305, ""history_length"": 60}"
2025-12-14T06:00:58.248998+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010985788752452578, ""long_vol"": 7.805130935269842e-05, ""ratio"": 1.4075085791078754, ""rolling_mean"": 90169.74433333335, ""rolling_std"": 25.904940001805524, ""history_length"": 60}"
2025-12-14T06:00:58.248998+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002451650283122158, ""long_vol"": 0.00020159195978015077, ""ratio"": 1.216144872938307, ""rolling_mean"": 3112.185, ""rolling_std"": 1.2934364948081607, ""history_length"": 60}"
2025-12-14T06:01:10.192344+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010791619571494951, ""long_vol"": 6.997570797043912e-05, ""ratio"": 1.5421951252074242, ""rolling_mean"": 90170.89433333334, ""rolling_std"": 25.257622133114285, ""history_length"": 60}"
2025-12-14T06:01:10.192344+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00023502653068123897, ""long_vol"": 0.00017744919569493515, ""ratio"": 1.3244722229414265, ""rolling_mean"": 3112.2158333333327, ""rolling_std"": 1.2436186832701077, ""history_length"": 60}"
2025-12-14T06:01:21.955419+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 8.54529384920898e-05, ""long_vol"": 6.997570797043913e-05, ""ratio"": 1.2211800490562945, ""rolling_mean"": 90171.63250000002, ""rolling_std"": 25.175804339732917, ""history_length"": 60}"
